cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total,valor aluguel reduzido
João Pessoa,310,2,4,2,18,0,1,4512,9608,1938,18,16076,7288.206682551766
Ribeirão Preto,353,3,2,4,19,1,1,301,7159,1683,16,9159,5535.500493920059
São Gonçalo,35,1,4,2,2,1,0,4204,3283,1068,18,8573,2622.7023144382815
Serra,144,3,3,2,3,0,1,2967,7395,1328,75,11765,5699.726970631666
Santo André,30,2,1,1,19,1,1,2117,5991,1646,62,9816,4498.33527109501
Teresina,288,3,3,0,0,0,1,4483,7943,1193,53,13672,5913.6077651282485
João Pessoa,279,5,4,2,18,1,1,966,6197,998,176,8337,4688.861682747981
Ribeirão Preto,134,1,2,2,7,0,0,2740,6847,1663,170,11420,5098.493533361476
João Pessoa,61,1,4,3,5,0,0,939,2832,1496,139,5406,2167.226464479477
São Luís,223,3,2,0,18,0,0,3140,3597,182,147,7066,2761.7737505032815
Teresina,492,1,4,3,5,1,1,2769,8874,879,68,12590,6595.383153083145
João Pessoa,68,3,3,2,7,1,1,77,4190,950,66,5283,3324.723578031349
Campinas,231,3,4,4,16,1,1,3844,2650,1219,189,7902,1878.5237393523703
Recife,316,3,2,1,15,0,1,1118,845,1257,11,3231,607.0673707392822
Jundiaí,330,2,4,2,7,1,0,3216,6415,1216,179,11026,4617.389736705371
Belém,170,5,3,1,6,0,0,741,7372,1525,169,9807,5862.997526487421
Barueri,234,3,4,2,7,1,1,2834,1717,812,89,5452,1232.3885288956135
Caxias do Sul,492,5,4,3,17,0,0,2996,9141,456,24,12617,6727.273619832079
São Gonçalo,460,1,4,3,12,0,0,3918,5964,1756,83,11721,4761.727539257816
Jaboatão dos Guararapes,460,3,4,4,5,1,0,4125,3898,168,54,8245,3043.4179167568245
Boa Vista,172,5,1,0,2,0,0,4587,7444,719,164,12914,5858.231589963201
Montes Claros,193,1,4,3,6,1,0,1534,5790,1696,40,9060,4053.545244612278
Contagem,358,3,3,2,3,1,1,190,8607,1903,123,10823,6248.861091273265
Jaboatão dos Guararapes,398,4,3,2,3,1,1,1535,8853,924,163,11475,6409.072239261771
Curitiba,178,2,1,0,12,0,0,2830,5307,980,86,9203,3825.4647604143165
Ananindeua,212,5,3,0,7,0,1,459,3278,769,41,4547,2402.6809516792714
Campinas,348,3,2,2,13,1,0,2527,3569,131,162,6389,2511.3049621162745
Caxias do Sul,143,5,4,2,18,0,0,3218,2495,1587,144,7444,1818.1335194991511
Santo André,419,2,1,1,8,0,1,814,3701,1190,70,5775,2730.3350055069773
Maceió,109,5,1,2,4,0,0,3667,6536,1629,84,11916,5127.973420998243
Osasco,354,2,1,4,15,0,0,1384,5322,1103,112,7921,4095.159642205133
Curitiba,412,5,3,1,8,1,1,2153,6807,92,71,9123,5145.645822527539
Santo André,30,5,2,4,15,0,0,2429,2089,993,117,5628,1544.9609729530753
João Pessoa,132,2,4,2,10,0,0,3324,6169,867,172,10532,4848.779799745431
Vila Velha,190,1,1,3,7,1,1,1641,727,321,31,2720,521.3538139591817
São Gonçalo,259,2,2,0,2,0,0,2529,4511,501,28,7569,3186.646216280805
Aracaju,49,5,2,2,4,1,0,3499,5007,100,92,8698,3909.292956567693
Guarulhos,172,1,3,4,7,1,0,2661,7602,1044,173,11480,5723.794233182017
Santo André,101,5,3,0,19,1,0,2355,1315,1196,63,4929,1044.5567756196565
Niterói,322,4,4,2,13,0,0,1278,5028,1907,34,8247,3625.140941154741
Contagem,143,1,1,3,4,0,1,1145,5243,1494,146,8028,3799.4769138616343
Niterói,428,5,3,2,2,1,0,482,5471,1680,119,7752,3884.8718691849876
Curitiba,248,3,3,4,13,0,0,2863,4458,232,82,7635,3437.535009557531
São José dos Campos,118,1,1,0,4,0,0,4060,4740,584,188,9572,3786.203373081125
Vitória,489,2,2,1,18,1,1,779,1198,291,34,2302,926.5511843225094
João Pessoa,491,3,2,0,5,1,1,3428,6794,657,131,11010,4940.094800429698
Caxias do Sul,366,2,2,3,7,1,0,1053,3532,1184,112,5881,2787.1107708662194
Vila Velha,206,5,1,1,17,0,0,1616,9373,11,115,11115,6970.61210936377
Teresina,54,2,4,2,14,1,0,1219,3352,53,96,4720,2565.137061967049
Montes Claros,20,5,4,3,11,0,1,2027,5916,1728,22,9693,4726.674306401557
Aracaju,411,1,2,3,12,1,0,4237,6703,106,23,11069,4914.759237892499
Florianópolis,297,4,2,0,8,0,1,3914,2909,472,182,7477,2083.8282695913995
Manaus,161,1,4,0,3,0,1,3311,727,1126,41,5205,576.8085873220259
Ananindeua,377,1,4,3,2,0,0,2106,4893,1769,124,8892,3681.5538248894563
São Paulo,477,4,3,0,1,1,0,2068,9275,506,33,11882,6726.622451045318
Aracaju,321,5,1,3,7,1,0,4225,1600,564,186,6575,1205.9343046299073
Belo Horizonte,259,4,1,1,19,0,0,1287,9268,1499,18,12072,7294.618926551787
Curitiba,25,3,4,1,14,0,1,2212,9095,1442,36,12785,6587.176061157169
Jundiaí,411,2,1,0,15,1,0,443,8868,281,103,9695,7076.149304559947
Porto Velho,47,5,3,1,19,0,1,2151,9807,1475,161,13594,7719.337489190652
Brasília,233,5,3,3,16,0,0,3368,4785,1735,118,10006,3353.644705585408
Cuiabá,44,1,2,0,18,0,0,248,779,1246,45,2318,603.1183293936473
São Paulo,97,5,3,0,8,1,0,2929,5408,1163,177,9677,3864.43278741432
Florianópolis,394,5,3,3,16,1,0,2382,9776,1822,196,14176,7800.607760951067
Maceió,386,3,2,2,2,1,1,3236,3686,1235,68,8225,2691.357840915637
Fortaleza,85,2,4,2,1,1,1,391,9043,1441,188,11063,6548.60123687062
São Luís,292,4,2,4,13,0,0,3829,999,806,36,5670,788.1097835719631
Contagem,455,5,1,1,7,0,1,3309,1097,735,46,5187,771.7946790092859
Joinville,60,2,3,0,10,1,0,1923,5258,854,190,8225,3980.9433601493442
Santo André,492,4,3,3,15,1,0,1553,9530,902,98,12083,6962.074419316868
Niterói,358,4,3,4,0,0,1,1407,2216,967,167,4757,1607.640279862315
Maringá,281,1,4,3,17,0,0,64,1164,202,113,1543,866.3333102165674
São Luís,101,4,1,3,9,0,0,2205,1893,1,146,4245,1449.2767579255378
Vitória,231,5,3,2,11,0,1,3235,746,1273,122,5376,527.9398944721518
Santo André,485,3,1,0,14,0,1,653,4455,1527,45,6680,3354.0616321465695
Londrina,436,3,1,3,18,0,1,4303,2392,1668,174,8537,1818.3889547517945
Brasília,349,3,3,0,7,1,1,2091,1882,562,120,4655,1441.5016526807779
Maceió,314,5,2,1,6,0,1,60,5482,925,100,6567,3848.185118840782
Belém,103,2,4,1,5,0,0,4091,5533,1081,147,10852,4316.4404918269465
Barueri,89,2,1,1,10,0,1,260,8799,1538,89,10686,6263.125016084468
Porto Velho,197,1,1,1,7,1,0,3821,7415,1243,45,12524,5227.468193295151
Goiânia,412,2,1,1,18,0,0,3568,7689,1097,80,12434,5422.8168113197935
Guarulhos,63,2,3,3,3,1,1,4144,588,1790,153,6675,429.3056975323057
Vila Velha,183,3,4,1,7,1,1,177,2563,1667,162,4569,2001.771026888258
Brasília,449,4,2,1,8,0,1,1435,7061,899,66,9461,5515.445485708026
São José dos Campos,257,1,1,4,17,1,0,956,6565,842,62,8425,5089.025091784669
Maceió,456,5,2,0,9,0,1,439,4885,1907,50,7281,3809.8461470827665
Florianópolis,105,4,2,4,13,0,0,4438,4484,896,87,9905,3363.94373367156
Montes Claros,86,2,2,1,14,0,1,2937,6542,1101,161,10741,5074.188380597017
Joinville,258,1,3,3,8,1,1,2964,3592,1391,86,8033,2789.261275586155
Contagem,316,1,4,0,7,0,0,1762,2056,1478,107,5403,1573.8652883169598
Caxias do Sul,322,3,4,4,14,1,0,4982,1083,1261,157,7483,823.2864908774188
Santo André,442,2,4,4,8,1,0,1391,5963,1000,35,8389,4242.2640625528875
Natal,298,5,2,3,0,0,1,182,9104,991,135,10412,6565.647287104694
Duque de Caxias,258,1,4,3,16,1,0,3937,3069,1041,173,8220,2228.7675641641563
Maringá,135,2,3,1,0,1,0,4927,3106,1352,23,9408,2207.4281207023937
Salvador,134,4,2,2,10,0,0,2430,8512,294,21,11257,6795.508569737615
Caxias do Sul,157,1,3,4,7,0,1,2689,1300,101,167,4257,911.1750487869615
Sorocaba,128,3,4,4,16,1,1,4892,5593,607,61,11153,4295.742992631336
Niterói,417,2,1,3,2,0,1,1014,2073,141,134,3362,1462.7372897566315
Campinas,53,5,1,2,8,1,0,3630,7044,344,69,11087,5005.853298425468
Campo Grande,422,3,1,3,1,0,0,151,2453,968,39,3611,1915.9366524734423
Contagem,452,4,1,2,8,1,0,480,5164,1149,52,6845,3734.052929484585
Porto Alegre,403,3,1,3,8,0,0,4496,1409,154,152,6211,1122.9825671863996
Piracicaba,149,3,1,0,9,1,0,457,5787,282,165,6691,4183.93830714638
Macapá,264,3,4,2,7,1,0,811,3758,438,131,5138,2779.0892177380438
Aparecida de Goiânia,408,3,4,1,1,0,1,1673,6738,1291,73,9775,5026.307186322273
Aracaju,373,3,1,0,7,1,1,4224,864,1140,104,6332,667.7832728332107
Florianópolis,480,4,2,2,0,0,0,144,2971,1260,181,4556,2211.1055137567573
Feira de Santana,497,4,2,0,13,1,1,2391,5698,1419,147,9655,4271.192215621879
Feira de Santana,107,1,4,3,5,1,0,2933,9452,262,32,12679,6760.120141100512
Jundiaí,113,2,1,2,17,1,1,3017,7570,1037,91,11715,5656.174009832469
Campo Grande,253,4,3,4,16,1,0,2929,9048,355,183,12515,6821.082066958898
Joinville,213,1,2,3,15,1,1,73,6060,883,141,7157,4753.490018652051
Montes Claros,121,2,2,4,12,0,0,465,3016,705,163,4349,2171.7748777700876
Vitória,352,4,2,0,18,0,0,2522,3317,1287,155,7281,2395.042296896503
Salvador,94,3,4,0,7,1,1,2007,4676,621,67,7371,3400.134311414938
Londrina,88,2,3,2,10,0,1,832,1046,709,81,2668,791.2133601903514
Montes Claros,314,5,1,2,13,1,0,3728,2270,849,138,6985,1600.6735199535638
Montes Claros,471,3,1,4,8,1,1,3278,5265,1664,44,10251,4012.9725527373093
Boa Vista,203,5,3,4,19,0,1,4635,6444,533,146,11758,4832.569928977027
Florianópolis,408,4,4,3,18,0,0,718,8172,1380,131,10401,6106.222121478063
Goiânia,172,3,4,3,7,1,0,3131,8747,637,158,12673,6212.081056838737
Caxias do Sul,370,4,4,1,8,0,0,1843,4474,1117,95,7529,3427.953924910276
Curitiba,379,1,1,1,5,1,0,3594,697,382,12,4685,555.5583561268228
Niterói,296,3,3,0,17,0,1,4087,981,503,62,5633,773.2028596603196
Londrina,261,3,4,1,10,0,0,3630,7678,1067,66,12441,6007.121064195443
Campo Grande,210,4,3,0,16,0,1,3489,8730,1927,135,14281,6389.874579295801
Montes Claros,200,3,1,4,18,0,1,1403,9130,1961,100,12594,6644.772046397424
Mogi das Cruzes,96,1,4,4,11,0,0,4300,8535,774,127,13736,6252.115071411756
Goiânia,180,2,1,1,8,1,1,4763,1926,1600,13,8302,1390.7631141043253
Feira de Santana,457,1,2,3,9,0,0,142,514,1191,154,2001,384.38070060790056
Ananindeua,306,2,2,3,16,1,1,2279,1928,1294,123,5624,1539.01710516168
Londrina,339,2,4,3,4,1,1,874,2516,1495,39,4924,1761.8529120654334
Mogi das Cruzes,328,1,4,1,17,1,0,695,1067,1091,144,2997,803.4297942372954
Manaus,467,4,3,1,14,0,0,630,5431,751,15,6827,3804.693486473606
Barueri,327,5,1,2,5,0,0,2756,3971,347,14,7088,3021.996330239875
Uberlândia,404,4,2,3,3,1,0,4883,5468,1985,76,12412,3854.5469065048533
Jundiaí,109,1,4,4,3,0,1,4036,7059,1738,96,12929,5340.222505318877
Osasco,182,3,1,3,9,0,0,2447,3568,1004,149,7168,2742.772557980979
Serra,71,2,2,1,0,1,0,4891,2896,365,145,8297,2168.9990842151615
Jaboatão dos Guararapes,465,3,4,2,17,1,0,689,971,834,36,2530,691.7571386654463
Florianópolis,245,1,2,2,19,0,0,3496,9795,345,27,13663,7420.596284143371
Boa Vista,390,5,1,2,6,0,1,1311,7957,814,102,10184,6321.13515690243
Piracicaba,251,2,1,3,6,0,1,143,7877,1182,128,9330,5799.819383751587
Jundiaí,48,4,4,3,18,1,1,2024,6536,544,179,9283,4751.072837358229
Mogi das Cruzes,76,1,1,4,0,1,1,4025,8214,720,183,13142,6541.2660298604305
Niterói,391,3,3,0,7,1,1,3893,7087,329,36,11345,5141.214569102083
Betim,288,2,4,4,17,0,0,4743,6982,1203,94,13022,4932.694548177116
Piracicaba,192,4,4,0,0,0,0,1103,1476,1804,196,4579,1101.112937082331
Osasco,157,3,1,0,19,0,1,2746,6302,1874,16,10938,4630.328085372576
São Luís,257,1,3,2,7,0,1,3582,8178,1699,171,13630,6453.565125694239
João Pessoa,106,4,1,3,13,1,0,137,8538,505,78,9258,6334.152065839048
Osasco,96,4,3,1,7,1,0,40,2847,1021,69,3977,2277.0305259207553
Londrina,418,3,2,3,9,0,1,3912,8598,1859,58,14427,6484.042569852355
Cuiabá,297,5,3,3,9,1,1,3801,3536,12,65,7414,2527.5328382566377
Vila Velha,228,2,3,2,6,1,1,2852,9711,1561,36,14160,6889.940344512938
Feira de Santana,414,4,1,2,14,0,0,2756,554,276,13,3599,405.292364531478
Fortaleza,117,5,2,4,17,0,1,333,8916,847,10,10106,6432.789625313271
Recife,34,1,2,4,13,0,0,3003,2277,1854,185,7319,1765.1498659429778
Campo Grande,121,5,1,2,19,1,0,1505,1118,492,189,3304,829.9728285657059
São José dos Campos,60,3,3,1,10,0,1,1616,4319,1160,64,7159,3299.9347984274564
São José dos Campos,336,4,1,3,0,1,0,2111,2102,507,50,4770,1616.2076841493715
Joinville,21,2,4,3,14,0,1,4311,4570,1794,127,10802,3218.4618831513403
Brasília,221,1,1,4,19,0,1,410,5204,821,54,6489,3951.444271795471
Maringá,27,4,4,2,8,1,0,2349,9345,1214,192,13100,6556.459751261737
Piracicaba,124,2,4,3,19,0,1,4096,2947,1083,48,8174,2229.5406756269085
Vitória,479,1,3,3,7,1,0,4807,5730,406,102,11045,4453.3471359212845
Montes Claros,427,4,1,2,11,1,0,4998,1044,451,85,6578,765.462990277307
Brasília,203,3,3,0,1,1,1,451,3084,1,114,3650,2216.179008353168
Santo André,257,4,4,1,15,1,0,3054,911,1606,132,5703,692.141887893752
Belém,487,1,4,1,16,1,0,2502,5640,654,124,8920,4356.85461091045
Niterói,435,1,3,4,8,0,1,2412,5984,317,153,8866,4659.922158101054
Mogi das Cruzes,441,2,1,4,4,0,0,10,3916,451,10,4387,2772.060005058705
Maringá,465,1,1,1,11,1,1,4760,4301,1583,138,10782,3251.4997681532877
Porto Alegre,134,3,3,1,15,1,0,4797,9392,668,137,14994,7072.424701449175
Aparecida de Goiânia,79,3,3,0,4,1,1,943,2104,978,91,4116,1516.4044289823219
Jundiaí,416,2,3,3,18,0,0,3970,1122,1501,159,6752,864.7465406239614
Feira de Santana,107,2,4,1,19,1,0,4528,4605,1819,135,11087,3335.1118064438433
Duque de Caxias,230,5,2,4,6,0,1,2422,9732,1246,12,13412,6839.3901898816885
Niterói,87,4,1,3,7,0,0,4293,9738,64,170,14265,7478.684056963642
Aracaju,313,1,2,1,10,0,0,4429,9502,945,10,14886,6848.623600708441
Betim,312,5,1,3,18,0,1,1964,8115,273,142,10494,5987.6884366926415
Santo André,64,2,3,0,19,1,1,4749,5325,499,37,10610,4181.4902921674375
Ribeirão Preto,298,5,4,1,6,1,1,3786,9501,716,155,14158,7529.173056873916
Niterói,113,4,1,1,11,1,1,2348,1093,1431,193,5065,801.7767560312817
Belém,255,2,1,3,10,0,0,3052,4228,1435,156,8871,3002.9866165146864
Cuiabá,44,2,3,4,4,1,1,2009,2189,861,31,5090,1596.318806532317
Goiânia,177,1,4,0,14,1,1,1996,1643,1804,153,5596,1205.3270474293656
Cuiabá,71,1,4,0,19,1,0,2484,7064,1945,133,11626,5165.819817782863
Fortaleza,218,5,4,0,3,0,0,1184,1022,1177,126,3509,796.5861016210016
Aparecida de Goiânia,38,2,4,0,10,0,1,4957,4908,1817,164,11846,3775.3912980665987
Maceió,127,5,2,3,0,0,1,1540,2611,994,14,5159,2080.0579916466304
São Paulo,195,1,2,1,16,0,0,2952,2580,1210,39,6781,1919.5128563518676
Santo André,191,2,4,4,18,1,0,4532,1928,1801,55,8316,1465.4170648958795
Londrina,271,5,3,3,13,0,1,1473,2018,1282,98,4871,1555.6150143726372
Vila Velha,281,1,4,3,16,1,1,3808,7847,2,63,11720,6046.510552203205
Piracicaba,102,2,4,4,12,0,0,3079,8854,62,15,12010,7052.085276815474
Cuiabá,219,2,2,3,14,1,1,4184,5533,282,12,10011,4204.316900445891
Caxias do Sul,132,2,4,4,4,1,0,1611,3983,47,92,5733,2863.7015496451277
Maceió,379,5,3,4,5,0,0,3692,2610,301,173,6776,1924.5311943511692
Betim,292,3,1,4,9,1,1,4437,2288,1754,28,8507,1710.8129655955424
Rio de Janeiro,53,2,3,0,0,0,0,2515,2547,972,62,6096,1915.84335808475
Feira de Santana,195,4,4,0,18,0,0,659,9286,1701,173,11819,7071.853072231755
Rio de Janeiro,124,1,1,3,19,0,1,2245,9185,245,175,11850,6844.126621540449
Ribeirão Preto,489,5,2,4,1,1,0,1012,3916,1384,68,6380,2879.805224713785
Santo André,341,1,3,0,13,0,0,3144,9157,1537,108,13946,6782.495320931405
Macapá,448,4,1,0,19,0,0,3068,4728,1709,148,9653,3328.7024333165273
Cuiabá,483,1,2,1,0,1,0,715,4679,912,195,6501,3689.5108730311904
Ribeirão Preto,242,5,2,1,13,0,0,605,920,1298,56,2879,667.3967367388373
Guarulhos,227,1,1,0,12,1,1,977,1756,1730,59,4522,1231.3565481041635
Natal,56,4,2,4,19,0,0,2617,9029,1279,110,13035,6670.523544908659
Boa Vista,416,4,3,4,16,0,0,2023,2670,1383,171,6247,2108.8301302790487
Contagem,359,3,2,2,18,0,1,2367,785,1827,186,5165,607.7079532816967
Fortaleza,65,5,2,3,12,0,1,100,1072,1900,145,3217,789.5234938020731
Macapá,398,1,2,2,13,0,0,997,3447,566,151,5161,2417.861548439227
João Pessoa,91,1,1,1,8,0,1,2807,3510,457,21,6795,2491.3162543245026
Caxias do Sul,265,4,4,3,3,1,0,101,7195,667,93,8056,5238.0757592943355
Porto Alegre,47,4,1,3,13,0,1,3825,8658,1252,158,13893,6195.470938799422
Cuiabá,333,1,2,2,4,0,1,2322,4916,1441,84,8763,3687.98121233831
Campinas,259,5,2,3,17,0,1,127,8539,313,29,9008,6620.432107167345
Vitória,427,3,1,3,8,0,0,4468,6222,662,23,11375,4807.979798023068
Natal,459,4,1,2,8,0,1,4503,4364,1401,98,10366,3153.6298806915083
Caxias do Sul,75,1,4,4,19,0,0,557,3556,1762,15,5890,2540.6457197741097
Duque de Caxias,79,1,1,2,0,1,0,3778,7774,279,177,12008,5615.351158090752
São Paulo,76,2,1,0,18,0,1,80,1458,431,173,2142,1095.8104485911579
Uberlândia,315,2,3,3,9,1,0,2442,2087,1310,69,5908,1630.0329371490554
Aparecida de Goiânia,120,3,1,0,17,1,0,2576,6945,1203,65,10789,4866.575903637277
São Luís,341,4,4,3,15,1,1,4725,7253,558,107,12643,5771.073192598266
Belo Horizonte,138,3,4,1,16,1,1,4999,7648,584,11,13242,5969.377334203027
Santo André,491,4,3,0,19,1,1,2018,4849,932,29,7828,3461.9736786640055
Maringá,348,4,2,1,11,0,1,1317,8186,1219,66,10788,5737.499924343773
Ribeirão Preto,139,1,4,4,12,1,1,2754,9166,1208,166,13294,7201.1664352384605
Salvador,145,4,3,2,7,1,1,851,603,297,69,1820,454.4455939409233
Ribeirão Preto,131,5,4,3,12,0,0,327,6050,1929,188,8494,4464.327691646898
Jundiaí,126,3,2,2,14,1,0,839,5826,1902,49,8616,4270.256754535174
São Luís,180,2,4,3,1,1,1,1488,2468,1882,38,5876,1808.7687057950736
Brasília,73,1,4,4,3,1,1,3836,1010,1235,44,6125,728.2503647957957
Fortaleza,142,1,4,0,19,1,0,666,2916,625,113,4320,2320.3063477367396
Porto Velho,272,1,4,0,13,0,1,3625,8132,186,47,11990,5810.240822242684
Belém,436,3,1,1,9,1,1,2261,5593,187,188,8229,4101.335999269548
Londrina,150,3,4,2,1,1,1,1169,3576,1629,60,6434,2507.167806203351
Londrina,350,3,3,2,11,0,0,3893,5712,1861,68,11534,4412.425373653723
Goiânia,396,1,4,1,18,0,0,3251,8748,1709,180,13888,6191.760473256813
Cuiabá,22,4,2,1,10,0,0,225,9631,823,53,10732,6889.28608986502
Joinville,481,4,2,1,11,1,1,3647,4658,230,74,8609,3404.1657207430867
Vitória,62,1,3,1,6,1,1,2262,6433,6,175,8876,4813.492123807475
Boa Vista,53,4,2,0,4,1,1,4099,5321,1609,102,11131,3871.3624347506284
Maringá,124,3,2,3,4,0,0,1026,9653,1518,78,12275,7479.529896344378
Osasco,120,4,2,1,1,1,1,3171,5861,333,40,9405,4623.872398820635
Rio de Janeiro,377,2,2,3,1,0,0,1389,2703,458,24,4574,1936.210585810934
Campinas,184,3,3,4,2,0,1,3879,4431,469,187,8966,3212.5643759568347
Goiânia,181,5,1,3,9,1,1,296,2367,854,196,3713,1834.4932748516326
Joinville,223,2,1,3,4,1,1,1593,5173,1090,199,8055,3811.480104013992
Teresina,246,5,1,4,6,0,1,2647,824,1082,42,4595,588.847734790707
Boa Vista,341,5,1,3,1,1,1,183,1385,157,112,1837,1052.2817869093865
Contagem,161,5,1,4,0,1,0,204,9875,401,43,10523,7881.385519098362
Betim,106,1,1,2,8,1,0,2187,1616,1291,175,5269,1176.2909506708709
Teresina,280,1,4,0,18,1,0,4967,6705,799,133,12604,4834.953739471951
Teresina,99,3,3,3,14,1,1,2313,4481,333,64,7191,3259.2538700607506
Curitiba,348,2,1,4,4,1,1,4630,4875,111,152,9768,3478.2666772553894
Uberlândia,355,4,4,2,4,1,0,3859,3856,1868,28,9611,2710.447444584649
Ananindeua,258,5,4,4,18,0,1,400,9027,214,39,9680,6508.2272936050895
Recife,337,1,4,0,5,1,0,3735,6854,1904,110,12603,4900.351985883442
Brasília,206,1,2,2,7,0,1,3569,8392,735,142,12838,6605.459957212928
Duque de Caxias,223,2,1,4,9,0,0,849,9380,355,60,10644,7368.207934687061
São Luís,418,1,4,1,13,0,1,1275,5210,1769,182,8436,3661.4301849514995
Sorocaba,141,2,2,4,11,1,1,3892,701,1699,52,6344,494.5244374680952
Natal,99,4,3,0,9,0,1,339,5626,1509,100,7574,4024.065116909616
Belém,87,4,1,1,11,1,1,1189,4732,1387,136,7444,3404.8304060305077
Maringá,222,1,3,1,19,0,1,737,5443,1503,164,7847,3814.8905955649166
Curitiba,114,5,4,1,18,0,0,3795,5067,1699,180,10741,3662.8688345863325
São Gonçalo,210,1,2,1,11,0,1,2141,4658,403,77,7279,3723.501145661996
São Paulo,186,4,3,3,11,1,0,2566,2546,888,115,6115,1836.4301402056215
São Luís,257,1,3,4,4,1,0,3930,1894,1529,148,7501,1446.712857346267
Belo Horizonte,190,3,2,4,18,0,0,613,4148,857,173,5791,3262.5248221436464
Feira de Santana,416,5,2,0,7,1,0,3581,5872,1303,29,10785,4132.891102888125
Jaboatão dos Guararapes,337,2,2,1,16,1,0,2532,4509,316,125,7482,3552.752343484351
Ananindeua,277,1,3,0,9,1,0,1783,7856,696,37,10372,5989.716566391959
Londrina,146,3,1,2,10,1,1,1757,6355,1655,123,9890,4506.451484169695
Recife,70,2,2,1,14,1,1,2516,7878,1772,191,12357,6259.055333097432
Contagem,255,3,1,4,16,1,1,4873,2593,1145,175,8786,1996.1909039891552
João Pessoa,493,4,4,4,12,0,0,234,2830,1141,10,4215,2176.36100448803
Macapá,202,3,1,2,19,0,1,122,726,1688,117,2653,547.7818840055186
Barueri,194,3,3,2,8,0,1,3359,8547,1465,148,13519,6356.5920605693345
Rio de Janeiro,460,2,3,4,16,1,1,1418,608,821,134,2981,427.44060944345176
Curitiba,157,5,3,2,5,0,1,1142,1452,106,65,2765,1051.7264543698238
Salvador,297,3,2,4,16,0,1,1419,1083,1379,20,3901,804.8017930487986
Feira de Santana,110,5,4,3,1,0,1,4840,656,906,103,6505,519.3674230756031
Guarulhos,262,4,4,0,10,0,0,3244,9976,622,26,13868,7127.871881743006
Betim,482,2,2,2,15,1,0,4208,5498,439,185,10330,3998.8277516368767
São Paulo,190,5,1,0,14,0,1,1661,2846,990,191,5688,2115.8773420095777
Serra,217,2,4,3,14,0,1,1725,9630,1736,61,13152,7660.225426917654
Rio de Janeiro,256,1,3,4,8,0,0,248,7568,187,180,8183,5515.413290787216
Jaboatão dos Guararapes,128,3,1,4,5,1,0,1765,2502,348,131,4746,1921.233590943373
Macapá,250,4,1,2,6,1,0,3158,8882,1906,198,14144,7095.181102231526
Cuiabá,175,5,3,0,15,0,0,1876,6902,653,195,9626,5148.71069158962
Cuiabá,462,1,2,2,2,0,1,2411,2130,195,111,4847,1607.9238005151421
Campinas,306,1,4,1,15,0,0,1406,8539,1385,91,11421,6789.714404925094
Contagem,272,4,2,0,13,0,0,2621,5418,924,135,9098,4116.27576968033
Serra,255,3,2,2,15,0,0,4796,2928,776,147,8647,2076.4703989129553
Betim,434,4,4,2,14,0,1,3113,1243,1261,44,5661,930.5142490598698
Ananindeua,283,2,4,1,4,1,0,1971,3560,21,81,5633,2842.8423525859525
São Paulo,355,5,2,4,13,0,0,1742,8174,101,12,10029,6174.966984446686
Montes Claros,318,1,1,3,11,1,0,2508,8172,1864,184,12728,5966.840413410421
São Gonçalo,438,5,1,2,5,1,0,4250,8762,1704,53,14769,6603.996552145395
São Paulo,73,2,3,3,0,1,0,4650,6548,1262,192,12652,4772.791888374508
Vitória,457,5,4,3,7,0,1,2052,7225,1539,152,10968,5684.539276055587
Florianópolis,482,3,1,2,11,0,0,4336,1640,143,50,6169,1298.0735929591801
Ananindeua,34,1,2,3,1,1,0,383,1624,566,90,2663,1272.819464032775
Curitiba,309,1,1,2,10,1,0,1379,1714,1734,182,5009,1362.3797711403822
Mogi das Cruzes,351,1,1,2,8,0,0,4185,3816,335,125,8461,2975.8813988216402
Natal,445,1,3,3,3,0,1,901,7910,395,68,9274,6324.083365799328
Boa Vista,65,3,4,1,9,0,1,2065,1490,1060,54,4669,1147.9201797919363
Aracaju,115,4,2,0,12,0,0,2545,8130,1898,150,12723,5730.116620152455
São Luís,51,5,4,3,7,0,0,3596,3256,237,81,7170,2294.8128202109874
Macapá,302,3,2,4,13,1,1,1488,6303,1799,44,9634,4487.172925416165
Betim,46,3,2,1,11,1,1,360,5346,1551,91,7348,4028.5513549592924
Barueri,265,3,3,4,2,0,1,2985,7057,1765,61,11868,5588.637688927497
Cuiabá,85,5,2,2,15,1,1,2172,1103,357,102,3734,858.2483327424413
Santo André,184,2,1,4,1,0,1,1737,6634,856,142,9369,5154.787005056076
Cuiabá,292,4,1,3,1,0,0,1309,5574,1431,117,8431,4213.4560933268
Vila Velha,357,3,4,1,2,1,1,2139,9344,1585,147,13215,6831.640026795872
Macapá,128,3,4,0,3,1,0,4674,4404,1948,72,11098,3099.8543446615217
Cuiabá,36,1,4,1,8,1,0,4798,9831,46,90,14765,7450.7619826127375
Piracicaba,169,1,1,1,7,1,0,3333,7003,1489,187,12012,5372.385943683881
Goiânia,157,5,1,4,6,0,1,3790,8378,1821,141,14130,6155.503064104494
Campo Grande,23,2,1,0,4,1,0,2121,1737,1218,166,5242,1325.6652833654803
Caxias do Sul,62,1,1,2,0,0,0,2204,3179,1735,119,7237,2355.767155307365
Serra,469,4,3,0,1,0,0,123,5818,1991,179,8111,4264.6102937163605
Osasco,217,1,3,1,4,1,0,351,1245,407,74,2077,901.166949549685
